StopAbbr,Lines
212855,117 Stone Mountain / Panola (Inbound)
212854,117 Stone Mountain / Panola (Inbound)
212853,117 Stone Mountain / Panola (Outbound)
213391,84a Washington CW loop (Inbound)
213013,66 Lynhurst / Cascade Springs (Inbound)
212852,"191a Riverdale / Charlotte Woods (Inbound&Outbound), 191b Riverdale / Flint River (Inbound&Outbound)"
212851,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213014,20L Rainbow / Fairington (Inbound)
212857,49L Hank Aaron / McDonough / Constitution (Outbound)
212850,49L Hank Aaron / McDonough / Constitution (Inbound)
212845,15L Clifton / Panthersville (Inbound)
212842,"193 Morrow / Jonesboro (Outbound), 800 Lovejoy (Inbound)"
212864,34 Gresham (Inbound)
213012,66 Lynhurst / Cascade Springs (Inbound&Outbound)
212839,"121L Memorial / Pleasantdale (Inbound), 121 Memorial (Inbound)"
212831,193 Morrow / Jonesboro (Outbound)
212830,193 Morrow / Jonesboro (Inbound)
212835,55 Jonesboro (Inbound)
212834,55 Jonesboro (Outbound)
212833,192 Old Dixie / Tara Boulevard (Inbound)
212837,194 Conley Road / Mt Zion (Outbound)
212836,194 Conley Road / Mt Zion (Inbound)
212838,"191a Riverdale / Charlotte Woods (Inbound), 198 Southlake Parkway (Outbound)"
212829,66 Lynhurst / Cascade Springs (Outbound)
212828,117 Stone Mountain / Panola (Outbound)
212827,117 Stone Mountain / Panola (Inbound)
212826,"15L Clifton / Panthersville (Outbound), 195 Forest Parkway (Outbound)"
212817,32 Bouldercrest (Inbound)
212814,195 Forest Parkway (Inbound)
212813,195 Forest Parkway (Outbound)
212811,"49L Hank Aaron / McDonough / Constitution (Outbound), 4 Moreland (Inbound)"
212810,49L Hank Aaron / McDonough / Constitution (Inbound)
212809,"191a Riverdale / Charlotte Woods (Outbound), 198 Southlake Parkway (Inbound)"
212804,"49 Hank Aaron / McDonough (Outbound), 49L Hank Aaron / McDonough / Constitution (Outbound)"
212795,194 Conley Road / Mt Zion (Outbound)
212794,194 Conley Road / Mt Zion (Outbound)
212793,194 Conley Road / Mt Zion (Outbound)
212792,"194 Conley Road / Mt Zion (Outbound), 197 Battle Creek Road (Outbound)"
212791,"194 Conley Road / Mt Zion (Outbound), 197 Battle Creek Road (Outbound)"
212790,"194 Conley Road / Mt Zion (Outbound), 197 Battle Creek Road (Outbound)"
212789,"194 Conley Road / Mt Zion (Outbound), 197 Battle Creek Road (Outbound)"
212788,197 Battle Creek Road (Outbound)
212787,197 Battle Creek Road (Outbound)
212782,32 Bouldercrest (Inbound)
212781,32 Bouldercrest (Inbound)
212779,32 Bouldercrest (Outbound)
212777,32 Bouldercrest (Outbound)
212773,194 Conley Road / Mt Zion (Inbound)
212772,194 Conley Road / Mt Zion (Inbound)
212771,194 Conley Road / Mt Zion (Inbound)
212770,194 Conley Road / Mt Zion (Inbound)
212769,194 Conley Road / Mt Zion (Inbound)
212768,194 Conley Road / Mt Zion (Inbound)
212767,194 Conley Road / Mt Zion (Inbound)
212766,194 Conley Road / Mt Zion (Inbound)
212763,194 Conley Road / Mt Zion (Outbound)
212762,194 Conley Road / Mt Zion (Outbound)
212761,194 Conley Road / Mt Zion (Outbound)
212760,194 Conley Road / Mt Zion (Outbound)
212759,194 Conley Road / Mt Zion (Outbound)
212758,194 Conley Road / Mt Zion (Outbound)
212757,194 Conley Road / Mt Zion (Outbound)
212756,194 Conley Road / Mt Zion (Outbound)
212755,194 Conley Road / Mt Zion (Outbound)
212752,197 Battle Creek Road (Inbound)
212751,197 Battle Creek Road (Inbound)
